[2026-06-01 13:06:25,917][__main__][INFO] - Epoch 027 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 13:06:27,597][__main__][INFO] - Epoch 028 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 13:06:29,283][__main__][INFO] - Epoch 029 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 13:06:30,951][__main__][INFO] - Epoch 030 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 13:06:32,630][__main__][INFO] - Epoch 031 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 13:06:34,305][__main__][INFO] - Epoch 032 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 13:06:35,977][__main__][INFO] - Epoch 033 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 13:06:37,678][__main__][INFO] - Epoch 034 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 13:06:39,364][__main__][INFO] - Epoch 035 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 13:06:41,081][__main__][INFO] - Epoch 036 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 13:06:42,812][__main__][INFO] - Epoch 037 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 13:06:44,537][__main__][INFO] - Epoch 038 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 13:06:46,230][__main__][INFO] - Epoch 039 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 14:08:37,133][__main__][INFO] - Epoch 000 | train_total 0.0108 | train_normal 0.0016 | train_anomaly 0.0184 | val_total 0.0105
[2026-06-01 14:08:38,813][__main__][INFO] - Epoch 001 | train_total 0.0102 | train_normal 0.0005 | train_anomaly 0.0195 | val_total 0.0101
[2026-06-01 14:08:40,482][__main__][INFO] - Epoch 002 | train_total 0.0101 | train_normal 0.0002 | train_anomaly 0.0198 | val_total 0.0101
[2026-06-01 14:08:42,153][__main__][INFO] - Epoch 003 | train_total 0.0101 | train_normal 0.0001 | train_anomaly 0.0199 | val_total 0.0100
[2026-06-01 14:08:43,853][__main__][INFO] - Epoch 004 | train_total 0.0100 | train_normal 0.0001 | train_anomaly 0.0199 | val_total 0.0100
[2026-06-01 14:08:45,676][__main__][INFO] - Epoch 005 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 14:08:47,349][__main__][INFO] - Epoch 006 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 14:08:49,029][__main__][INFO] - Epoch 007 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 14:08:50,691][__main__][INFO] - Epoch 008 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 14:08:52,367][__main__][INFO] - Epoch 009 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 14:08:54,076][__main__][INFO] - Epoch 010 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 14:08:55,795][__main__][INFO] - Epoch 011 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 14:08:57,514][__main__][INFO] - Epoch 012 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 14:08:59,239][__main__][INFO] - Epoch 013 | train_total 0.0100 | train_normal 0.0001 | train_anomaly 0.0197 | val_total 0.0102
[2026-06-01 14:09:00,959][__main__][INFO] - Epoch 014 | train_total 0.0098 | train_normal 0.0002 | train_anomaly 0.0192 | val_total 0.0102
[2026-06-01 14:09:02,696][__main__][INFO] - Epoch 015 | train_total 0.0094 | train_normal 0.0003 | train_anomaly 0.0183 | val_total 0.0102
[2026-06-01 14:09:04,469][__main__][INFO] - Epoch 016 | train_total 0.0088 | train_normal 0.0002 | train_anomaly 0.0172 | val_total 0.0109
[2026-06-01 14:09:06,259][__main__][INFO] - Epoch 017 | train_total 0.0090 | train_normal 0.0003 | train_anomaly 0.0174 | val_total 0.0104
[2026-06-01 14:09:08,070][__main__][INFO] - Epoch 018 | train_total 0.0079 | train_normal 0.0002 | train_anomaly 0.0156 | val_total 0.0138
